base_col,margin,cap_slack,sample_count,coverage,mean_gap,median_gap,gap_p05,gap_p95,gap_p95_p05_range,p95_violation,p99_violation,max_violation
pred_q70,-0.02,0.08,5184.0,0.5522762345679012,0.06363000719552693,0.030947924867750845,-0.1514317378540897,0.3631277703780376,0.5145595082321273,0.16143173785408954,0.23443916793265024,0.3859929247049223
pred_q70,0.0,0.02,5184.0,0.5630787037037037,0.06408200837661031,0.036142568984059764,-0.16992614441324397,0.362257512599203,0.532183657012447,0.17992614441324395,0.25896168017057203,0.4288048291811446
pred_q80,-0.04,0.05,5184.0,0.5547839506172839,0.06443209693421308,0.033798580885135765,-0.15660911988730827,0.3663619615796867,0.522971081466995,0.16660911988730825,0.24143436767894397,0.3988048291811446
pred_q70,0.01,0.0,5184.0,0.5675154320987654,0.06550112589804973,0.04011414211924713,-0.18214455002394922,0.3682488585058373,0.5503934085297865,0.19214455002394906,0.273259481496837,0.4488048291811446
pred_q80,-0.02,0.0,5184.0,0.5671296296296297,0.06555161912948854,0.038503319650997986,-0.18186265099164464,0.3707543481588668,0.5526169991505114,0.19186265099164465,0.273259481496837,0.4488048291811446
pred_q70,0.0,0.03,5184.0,0.5682870370370371,0.06672038286233761,0.03818561938767767,-0.16248687936860995,0.36306885503734254,0.5255557344059525,0.17248687936860987,0.24995807897454225,0.4188048291811446
pred_q70,-0.02,0.1,5184.0,0.5621141975308642,0.06719693630745788,0.03367392680800094,-0.14608323729882966,0.366930783345987,0.5130140206448166,0.1560832372988295,0.22849234693599124,0.3859929247049223
pred_q70,0.01,0.01,5184.0,0.5738811728395061,0.06850646781039957,0.04117947984892975,-0.17589925494841027,0.3688803633429502,0.5447796182913605,0.18589925494841025,0.263539084439354,0.4388048291811446
pred_q80,-0.02,0.01,5184.0,0.5729166666666666,0.06853559193404708,0.04127013615923114,-0.17565235849558836,0.37078422822177265,0.5464365867173611,0.18565235849558803,0.263539084439354,0.4388048291811446
pred_q90,-0.08,0.05,5184.0,0.5675154320987654,0.0687208362924646,0.04177304833956108,-0.15419727432912533,0.37052461662700054,0.5247218909561259,0.16419727432912534,0.2343367495163355,0.3988048291811446
pred_q90,-0.06,0.0,5184.0,0.5738811728395061,0.06890063806593627,0.04407889927534436,-0.1801714321075029,0.37797721153052,0.5581486436380229,0.19017143210750287,0.2697236005346354,0.4488048291811446
pred_q70,0.01,0.02,5184.0,0.5794753086419753,0.07135956706265721,0.0437177984426374,-0.16791565038134484,0.3708441446704891,0.5387597950518339,0.17791565038134485,0.25464924832509317,0.4288048291811446
pred_q80,-0.02,0.02,5184.0,0.5785108024691358,0.07138215059421603,0.04377720711473754,-0.16787557971276337,0.3729991275518491,0.5408747072646125,0.17787557971276335,0.2557589143304157,0.4288048291811446
pred_q80,-0.04,0.08,5184.0,0.5706018518518519,0.07156676544728938,0.03945103605524797,-0.14410124904244956,0.37378845424180174,0.5178897032842513,0.15410124904244946,0.2297476212889317,0.3940291412105039
pred_q70,0.0,0.05,5184.0,0.5783179012345679,0.07185730994084488,0.041748862759073885,-0.15163733848873678,0.37117237496419697,0.5228097134529337,0.16163733848873646,0.23364848312508346,0.3988048291811446
pred_q90,-0.06,0.01,5184.0,0.580054012345679,0.07202229329921567,0.04552169998983435,-0.1721691027771593,0.37896188924147717,0.5511309920186365,0.18216910277715911,0.26205504124465656,0.4388048291811446
