decision_mode,t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
first_minute_relative,0.64,0.34,7468.0,0.7150508837707552,0.668498797664033,0.6414162206669412,0.6549575091654871,0.6170326727370112,0.6561797752808989,0.5451310861423221,0.4548689138576779,0.64,0.34,5340.0,2911.0,2429.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2233529726834494,0.49583157981682946,0.45046136989894964,2911.0,2429.0,5340.0,0.7150508837707552,0.6561797752808989,4825.0,0.7401036269430051,0.8510221226547185,3571.0,2643.0,0.6693151721528566,0.26286037309214244,1769.0
first_minute_relative,0.64,0.36,7468.0,0.72710230316015,0.6639593908629442,0.6371717171717172,0.6505655540173307,0.6170326727370112,0.6517495395948435,0.5441988950276243,0.4558011049723757,0.64,0.36,5430.0,2955.0,2475.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.22067487948580616,0.503203449746891,0.4385400767757149,2955.0,2475.0,5430.0,0.72710230316015,0.6517495395948435,4825.0,0.7515025906735752,0.8381136238279095,3626.0,2643.0,0.6825576995838063,0.2771618625277162,1804.0
first_minute_relative,0.64,0.38,7468.0,0.7396893411890734,0.6600133067198936,0.6342335186656076,0.6471234126927505,0.6170326727370112,0.6482621288921072,0.5441708906589428,0.4558291093410572,0.64,0.38,5524.0,3006.0,2518.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.21933583288698452,0.5100752436171004,0.43000681885991304,3006.0,2518.0,5524.0,0.7396893411890734,0.6482621288921072,4825.0,0.762279792746114,0.8262642740619902,3678.0,2643.0,0.6984487325009459,0.29360780065005415,1846.0
first_minute_relative,0.64,0.4,7468.0,0.7528119978575254,0.6554319371727748,0.6278254091971941,0.6416286731849845,0.6170326727370112,0.6428317324795446,0.5435787975809321,0.456421202419068,0.64,0.4,5622.0,3056.0,2566.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.21505088377075515,0.518536938938187,0.4147262569396057,3056.0,2566.0,5622.0,0.7528119978575254,0.6428317324795446,4825.0,0.7757512953367875,0.811915575741384,3743.0,2643.0,0.7109345440786985,0.30601383714741887,1879.0
first_minute_relative,0.64,0.42,7468.0,0.7667380824852705,0.6527331189710611,0.6223241590214067,0.6375286389962339,0.6170326727370112,0.6388403772266853,0.5431365700314356,0.45686342996856444,0.64,0.42,5726.0,3110.0,2616.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.21290840921264062,0.5262269820489205,0.40459424635289354,3110.0,2616.0,5726.0,0.7667380824852705,0.6388403772266853,4825.0,0.7881865284974093,0.7991059689718644,3803.0,2643.0,0.7275822928490352,0.3218928757150286,1923.0
first_minute_relative,0.64,0.44,7468.0,0.7840117836100696,0.6477451907915484,0.6177347242921013,0.6327399575418249,0.6170326727370112,0.6339880444064901,0.5415883859948761,0.4584116140051238,0.64,0.44,5855.0,3171.0,2684.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.21009641135511511,0.5356843157378021,0.39220190918927267,3171.0,2684.0,5855.0,0.7840117836100696,0.6339880444064901,4825.0,0.8037305699481865,0.7836513666838577,3878.0,2643.0,0.7480136208853575,0.3404147698533131,1977.0
first_minute_relative,0.64,0.46,7468.0,0.8004820567755758,0.6423697270471465,0.6161946259985476,0.629282176522847,0.6170326727370112,0.6303111408497826,0.539310806289729,0.460689193710271,0.64,0.46,5978.0,3224.0,2754.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.20862346009641142,0.5439938403507729,0.3835033498943459,3224.0,2754.0,5978.0,0.8004820567755758,0.6303111408497826,4825.0,0.8176165803108808,0.7703422053231939,3945.0,2643.0,0.7692016647748771,0.3585833743236596,2033.0
first_minute_relative,0.64,0.48,7468.0,0.8185591858596679,0.6395985401459854,0.6099115044247788,0.6247550222853822,0.6170326727370112,0.6258792736790446,0.5378701128742025,0.4621298871257975,0.64,0.48,6113.0,3288.0,2825.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.20607927155865016,0.5533895166611931,0.37239460697051846,3288.0,2825.0,6113.0,0.8185591858596679,0.6258792736790446,4825.0,0.8335751295336787,0.7555942317255097,4022.0,2643.0,0.7911464245175936,0.37637494021999046,2091.0
first_minute_relative,0.66,0.02,7468.0,0.5567755757900374,0.7136089577950043,0.6895424836601307,0.7015757207275675,0.6170326727370112,0.7029822029822029,0.5584415584415584,0.44155844155844154,0.66,0.02,4158.0,2322.0,1836.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2260310658810926,0.40665987625345146,0.5558233774217212,2322.0,1836.0,4158.0,0.5567755757900374,0.7029822029822029,4825.0,0.6055958549222797,1.0,2922.0,2643.0,0.4676503972758229,0.0008090614886731392,1236.0
first_minute_relative,0.66,0.05,7468.0,0.5589180503481521,0.7128755364806867,0.6892624728850325,0.7010690046828596,0.6170326727370112,0.7024436990896022,0.5582175371346431,0.441782462865357,0.66,0.05,4174.0,2330.0,1844.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.22629887520085692,0.4078107251822193,0.5549115342656605,2330.0,1844.0,4174.0,0.5589180503481521,0.7024436990896022,4825.0,0.6070466321243523,0.99761010583817,2929.0,2643.0,0.47105561861521,0.008032128514056224,1245.0
