feature,importance_q50,importance_q60,importance_q70,importance_q80,importance_q90,importance_mean
clv_1,0.027539724827568262,0.10579518241949913,0.01015639510371876,0.03144991202527178,0.08875675592635843,0.05273959406048327
relative_volume_20,0.0,0.030649390761233106,0.09000066194652641,0.08623405189934306,0.05599910449811938,0.05257664182104439
ret_range_pos_product__ret_5__range_pos_10,0.05537771107861283,0.016096900627675652,0.00979331110602498,0.06990303073208862,0.11091566135872878,0.052417322980626166
htf_efficiency_15m_delta_1,0.08866190070177955,0.0522268608888637,0.03447633852114878,0.008391989159403713,0.07797094272871354,0.052345606399981856
rv_3_delta_3,0.04792764110410298,0.11190932949599298,0.044274669250824815,0.0,0.057198307088293064,0.05226198938784277
rv_term_spread__rv_5__rv_30,0.07527720882329278,0.04205782362538759,0.06540771303416147,0.07391173270066487,0.004386812605284317,0.05220825815775822
context_ret_product__compression_score__ret_15,0.0950411518157337,0.053955461045792796,0.03725333368702355,0.01553757053520754,0.057709786466515624,0.05189946071005465
low_volume_flag_share_20_delta_6,0.10208665286268902,0.0,0.06401639530196404,0.074875845801407,0.015495009777741124,0.051294780748760226
clv_1_rolling_z_12,0.02533196106243668,0.0753645971895322,0.051044274603481446,0.045388691347771556,0.0590913521426822,0.05124417526918081
relative_volume_20_mean_gap_12,0.10530117942355519,0.044156207957032616,0.03494746843740129,0.02951223291025671,0.04106814610854041,0.05099704696735724
max_up_ret_5,0.08188877496529333,0.03912799142091866,0.04096672893462734,0.04362579238600747,0.04924116522409627,0.05097009058618862
max_up_ret_5_delta_1,0.023817294732125873,0.00962305174188357,0.02954466241967735,0.02237794500911899,0.16930104369998006,0.05093279952055717
volume_share_term_ratio__volume_share_3__volume_share_5,0.12357231910195104,0.07702859097140566,0.03751444297935245,0.016426033029023127,0.0,0.050908277216346456
volume_z_20_lag1,0.0724137171398684,0.041783429869577185,0.05557021445731051,0.056271649669876876,0.026734501593537255,0.050554702546034044
relative_volume_20_lag12,0.11764978895718654,0.06408263225291382,0.05924264433468237,0.009990764001398388,0.0,0.050193165909236226
ret_close_z_product__ret_1__close_z_10,0.027466293705707558,0.05188205300408558,0.06688462496503966,0.08170966601331806,0.022382011215515914,0.05006492978073335
close_z_10_mean_gap_12,0.0093926667805205,0.10239733195533536,0.006146876878119156,0.019807360479421065,0.11243977344830897,0.05003680190834101
wick_pressure_1_lag1,0.030345506492096556,0.027237595737229,0.039968088494533434,0.025620261809952156,0.125091039312158,0.04965249836919383
legal_prev_trade_count_sum_3,0.0083470749007568,0.06922387189513561,0.07287353752176906,0.008849532671937867,0.08894103719397034,0.04964701083671393
volume_below_rolling_p20_share_20_lag1,0.10155084678196569,0.029764526450265175,0.022445708652122382,0.027188306027990366,0.06534952099003852,0.04925978178047642
volume_z_5_lag6,0.08918413494938357,0.060671853807027026,0.029587988457237705,0.05756870649231025,0.008264861051640178,0.04905550895151974
