reversal_risk_threshold,base_band,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy
0.3,0.5,7468.0,0.1621585431173005,0.8,0.7733887733887734,0.7866943866943867,0.6491697911087306,0.7894302229562346,0.6028075970272502,0.39719240297274977,0.3,0.5,1211.0,730.0,481.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.09386716657739691,0.18478551964359055,0.5079790167457138,730.0,481.0,1211.0,0.1621585431173005,0.7894302229562346
0.35,0.03,7468.0,0.9042581681842529,0.6626278944534195,0.6650213886146759,0.6638246415340476,0.6491697911087306,0.6637050199911151,0.5499777876499333,0.4500222123500666,0.35,0.03,6753.0,3714.0,3039.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2960632029994644,0.5514503446298626,0.5368809828166562,3714.0,3039.0,6753.0,0.9042581681842529,0.6637050199911151
0.35,0.05,7468.0,0.8832351365827531,0.6674163621028957,0.6650213886146759,0.6662188753587858,0.6491697911087306,0.666312916919345,0.5392662219526986,0.46073377804730137,0.35,0.05,6596.0,3557.0,3039.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29378682378146753,0.5428850305549443,0.5411584539016571,3557.0,3039.0,6596.0,0.8832351365827531,0.666312916919345
0.35,0.07,7468.0,0.8318157471880021,0.674673784104389,0.6721830985915493,0.6734284413479692,0.6491697911087306,0.6735350933676755,0.5428203477141017,0.45717965228589824,0.35,0.07,6212.0,3372.0,2840.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.28869844670594536,0.521112895869051,0.5540036506379064,3372.0,2840.0,6212.0,0.8318157471880021,0.6735350933676755
0.35,0.1,7468.0,0.7478575254418853,0.6890482398956975,0.6841477949940405,0.686598017444869,0.6491697911087306,0.6868397493285586,0.5493285586392122,0.45067144136078785,0.35,0.1,5585.0,3068.0,2517.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.279459025174076,0.48394137055422803,0.5774646314160513,3068.0,2517.0,5585.0,0.7478575254418853,0.6868397493285586
0.35,0.15,7468.0,0.6010980182110337,0.7116443745082612,0.7082691319979456,0.7099567532531035,0.6491697911087306,0.7101804410781911,0.5662731120516818,0.4337268879483181,0.35,0.15,4489.0,2542.0,1947.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2526780931976432,0.41738466970732796,0.6053842211665854,2542.0,1947.0,4489.0,0.6010980182110337,0.7101804410781911
0.35,0.2,7468.0,0.4658543117300482,0.7405,0.7295469912102772,0.7350234956051387,0.6491697911087306,0.7358436332279391,0.5748778384593274,0.4251221615406726,0.35,0.2,3479.0,2000.0,1479.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.219737546866631,0.3507967822425237,0.6263955600217428,2000.0,1479.0,3479.0,0.4658543117300482,0.7358436332279391
0.35,0.5,7468.0,0.23915372254954473,0.7703984819734345,0.755464480874317,0.7629314814238757,0.6491697911087306,0.7642777155655095,0.5901455767077267,0.40985442329227323,0.35,0.5,1786.0,1054.0,732.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.12640599892876273,0.2374318045468867,0.532388654375917,1054.0,732.0,1786.0,0.23915372254954473,0.7642777155655095
0.4,0.03,7468.0,0.9039903588644885,0.6625370320495556,0.6649111257406188,0.6637240788950872,0.6491697911087306,0.6636053917938083,0.5499925936898238,0.4500074063101763,0.4,0.03,6751.0,3713.0,3038.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2957953936797,0.5514503446298626,0.5363953374228825,3713.0,3038.0,6751.0,0.9039903588644885,0.6636053917938083
0.4,0.05,7468.0,0.8829673272629888,0.6673228346456693,0.6649111257406188,0.6661169801931441,0.6491697911087306,0.6662117076129815,0.5392781316348195,0.4607218683651805,0.4,0.05,6594.0,3556.0,3038.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29351901446170336,0.5428850305549442,0.5406651462864327,3556.0,3038.0,6594.0,0.8829673272629888,0.6662117076129815
0.4,0.07,7468.0,0.8315479378682378,0.674577276772471,0.6720676294469884,0.6733224531097297,0.6491697911087306,0.6734299516908212,0.5428341384863123,0.4571658615136876,0.4,0.07,6210.0,3371.0,2839.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.28843063738618097,0.5211128958690511,0.5534897325946427,3371.0,2839.0,6210.0,0.8315479378682378,0.6734299516908212
0.4,0.1,7468.0,0.7477236207820032,0.6887222946544981,0.6840222575516693,0.6863722761030837,0.6491697911087306,0.6866045845272206,0.5494269340974212,0.4505730659025788,0.4,0.1,5584.0,3068.0,2516.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2790573111944295,0.4840796988036028,0.5764697670324046,3068.0,2516.0,5584.0,0.7477236207820032,0.6866045845272206
0.4,0.15,7468.0,0.6043117300482057,0.7102584181675803,0.7069933639612047,0.7086258910643926,0.6491697911087306,0.7088411256370485,0.5659206736095723,0.4340793263904277,0.4,0.15,4513.0,2554.0,1959.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2524102838778789,0.41946480553815646,0.6017436517803839,2554.0,1959.0,4513.0,0.6043117300482057,0.7088411256370485
0.4,0.2,7468.0,0.4777718264595608,0.7374083129584352,0.7281680892974393,0.7327882011279372,0.6491697911087306,0.7334641255605381,0.5731502242152466,0.42684977578475336,0.4,0.2,3568.0,2045.0,1523.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.22308516336368503,0.3568519742805662,0.625147622661854,2045.0,1523.0,3568.0,0.4777718264595608,0.7334641255605381
0.4,0.5,7468.0,0.32632565613283343,0.7587168758716876,0.7347956131605184,0.746756244516103,0.6491697911087306,0.7488715633976201,0.5884283955683217,0.4115716044316783,0.4,0.5,2437.0,1434.0,1003.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.16242635243706485,0.28626849607996385,0.567391643374177,1434.0,1003.0,2437.0,0.32632565613283343,0.7488715633976201
0.45,0.03,7468.0,0.9034547402249599,0.6622677080527875,0.6651285431773236,0.6636981256150556,0.6491697911087306,0.6635541722246925,0.5503186601452498,0.4496813398547503,0.45,0.03,6747.0,3713.0,3034.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2955275843599358,0.5513289199130698,0.5360277208141608,3713.0,3034.0,6747.0,0.9034547402249599,0.6635541722246925
