cutoff,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.155,7468.0,0.7275040171397965,0.6861120318196884,0.6829470198675497,0.684529525843619,0.611140867702196,0.6847045831032579,0.5553101417264863,0.4446898582735137,0.845,0.155,5433.0,3017.0,2416.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.268746652383503,0.47893494587276336,0.5611339383342885,3017.0,2416.0,5433.0,0.7275040171397965,0.6847045831032579,4825.0,0.7732642487046633,0.9536317341195389,3731.0,2643.0,0.6439651910707529,0.09518213866039953,1702.0
0.16,7468.0,0.7291108730583824,0.686300463269358,0.6830375567478333,0.6846690100085957,0.611140867702196,0.6848484848484848,0.5550045913682278,0.4449954086317723,0.84,0.16,5445.0,3022.0,2423.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2695500803427959,0.4793541450303661,0.5623192855163909,3022.0,2423.0,5445.0,0.7291108730583824,0.6848484848484848,4825.0,0.7738860103626943,0.9528655597214784,3734.0,2643.0,0.64737041241014,0.09994155464640561,1711.0
0.165,7468.0,0.7305838243170862,0.6862615587846763,0.6828665568369028,0.6845640578107896,0.611140867702196,0.6847507331378299,0.5549853372434017,0.44501466275659823,0.835,0.165,5456.0,3028.0,2428.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2699517943224423,0.47991250764834414,0.5625021019878262,3028.0,2428.0,5456.0,0.7305838243170862,0.6847507331378299,4825.0,0.7747150259067358,0.9518459069020867,3738.0,2643.0,0.6500189178963299,0.10360884749708964,1718.0
0.17,7468.0,0.7317889662560257,0.6864490603363007,0.6825657894736842,0.6845074249049925,0.611140867702196,0.6847209515096065,0.5549862763037512,0.44501372369624886,0.83,0.17,5465.0,3033.0,2432.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2703535083020889,0.4803308536591923,0.5628485162727273,3033.0,2432.0,5465.0,0.7317889662560257,0.6847209515096065,4825.0,0.7753367875647669,0.9510825982357658,3741.0,2643.0,0.6522890654559212,0.10672853828306264,1724.0
0.175,7468.0,0.7333958221746116,0.6864100032905561,0.682526661197703,0.6844683322441296,0.611140867702196,0.6846813949242286,0.5548658024465949,0.44513419755340516,0.825,0.175,5477.0,3039.0,2438.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2708891269416176,0.48088808221507945,0.5633101275744679,3039.0,2438.0,5477.0,0.7333958221746116,0.6846813949242286,4825.0,0.7761658031088083,0.9500667556742323,3745.0,2643.0,0.6553159288687098,0.11085450346420324,1732.0
0.18,7468.0,0.7355382967327263,0.6856768272697477,0.6822276822276823,0.6839522547487149,0.611140867702196,0.684143455306754,0.5554341889677772,0.4445658110322228,0.8200000000000001,0.18,5493.0,3051.0,2442.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.27088912694161754,0.4820006067377451,0.5620099293547309,3051.0,2442.0,5493.0,0.7355382967327263,0.684143455306754,4825.0,0.7778238341968912,0.9480415667466027,3753.0,2643.0,0.6583427922814983,0.11494252873563218,1740.0
0.185,7468.0,0.7387520085698982,0.6856023506366308,0.6813365933170334,0.6834694719768322,0.611140867702196,0.6837049120899039,0.5551930396954867,0.44480696030451333,0.815,0.185,5517.0,3063.0,2454.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2714247455811462,0.48338766171094605,0.5615053239473281,3063.0,2454.0,5517.0,0.7387520085698982,0.6837049120899039,4825.0,0.7798963730569948,0.9455221897422269,3763.0,2643.0,0.6636398032538782,0.12200684150513112,1754.0
0.19,7468.0,0.7406266738082485,0.6856677524429967,0.6802112962210484,0.6829395243320225,0.611140867702196,0.6832399204483819,0.5550533357439884,0.4449466642560116,0.81,0.19,5531.0,3070.0,2461.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.27142474558114627,0.4843562367860572,0.5603824725829556,3070.0,2461.0,5531.0,0.7406266738082485,0.6832399204483819,4825.0,0.7813471502590673,0.9437665782493369,3770.0,2643.0,0.6662883087400681,0.1254968767745599,1761.0
0.195,7468.0,0.7423674343867167,0.6851851851851852,0.6804541768045418,0.6828196809948635,0.611140867702196,0.6830808080808081,0.5551948051948052,0.4448051948051948,0.8049999999999999,0.195,5544.0,3078.0,2466.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2718264595607927,0.485046891973304,0.5604127437141758,3078.0,2466.0,5544.0,0.7423674343867167,0.6830808080808081,4825.0,0.7823834196891192,0.9425165562913908,3775.0,2643.0,0.6693151721528566,0.12945166760881854,1769.0
0.2,7468.0,0.7458489555436529,0.6844487552537989,0.6798546628986677,0.6821517090762332,0.611140867702196,0.6824057450628366,0.5552962298025135,0.4447037701974865,0.8,0.2,5570.0,3093.0,2477.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.272094268880557,0.48670046571946896,0.5590589860610291,3093.0,2477.0,5570.0,0.7458489555436529,0.6824057450628366,4825.0,0.7848704663212436,0.9395299709532612,3787.0,2643.0,0.6746121831252365,0.13628715647784634,1783.0
