variant,t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,coverage_constraint_satisfied,constraint_satisfied,fallback_reason,objective,hard_constraint
experiment_a_expert_only,0.495,0.425,7468.0,0.8043652919121586,0.6521310667652132,0.7073921971252567,0.6797616319452349,0.6497054097482592,0.670051606459131,0.6757116697186616,0.32428833028133847,0.495,0.425,6007.0,4059.0,1948.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.27356722013926077,0.515168939170879,0.531024289972808,4059.0,1948.0,6007.0,0.8043652919121586,0.670051606459131,4825.0,0.8354404145077721,0.9893326717935996,4031.0,2643.0,0.747635262958759,0.018724696356275303,1976.0,True,,,,
experiment_a_expert_only,0.495,0.43,7468.0,0.8221746116764863,0.6521310667652132,0.7006246996636233,0.6763778832144183,0.6497054097482592,0.6685667752442996,0.6610749185667752,0.33892508143322475,0.495,0.43,6140.0,4059.0,2081.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2771826459560792,0.5220114777092584,0.5309895620924642,4059.0,2081.0,6140.0,0.8221746116764863,0.6685667752442996,4825.0,0.8520207253886011,0.9895402578448066,4111.0,2643.0,0.7676882330684828,0.018235584031542632,2029.0,True,,,,
experiment_a_expert_only,0.495,0.435,7468.0,0.838243170862346,0.6521310667652132,0.6942298955020445,0.6731804811336288,0.6497054097482592,0.6669329073482428,0.6484025559105431,0.35159744408945687,0.495,0.435,6260.0,4059.0,2201.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2798607391537226,0.5283854803590952,0.5296525918227861,4059.0,2201.0,6260.0,0.838243170862346,0.6669329073482428,4825.0,0.8665284974093265,0.9897153790959101,4181.0,2643.0,0.7866061293984109,0.017797017797017797,2079.0,True,,,,
experiment_a_expert_only,0.495,0.44,7468.0,0.8596679164434923,0.6521310667652132,0.6823379923761118,0.6672345295706625,0.6497054097482592,0.6632398753894081,0.6322429906542056,0.3677570093457944,0.495,0.44,6420.0,4059.0,2361.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.28066416711301556,0.5380537841751867,0.5216284605139645,4059.0,2361.0,6420.0,0.8596679164434923,0.6632398753894081,4825.0,0.8837305699481866,0.9899155722326454,4264.0,2643.0,0.8157396897465002,0.017161410018552876,2156.0,True,,,,
experiment_a_expert_only,0.495,0.445,7468.0,0.8855115158007498,0.6521310667652132,0.6769772905246672,0.6645541786449402,0.6497054097482592,0.6617269015575382,0.6137910176924241,0.386208982307576,0.495,0.445,6613.0,4059.0,2554.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.28642206748794863,0.5473067916227612,0.5233300077251171,4059.0,2554.0,6613.0,0.8855115158007498,0.6617269015575382,4825.0,0.9081865284974093,0.9901871291647649,4382.0,2643.0,0.8441165342413923,0.016584491259524877,2231.0,True,,,,
experiment_a_expert_only,0.495,0.45,7468.0,0.9084092126405999,0.6521310667652132,0.6704587155963303,0.6612948911807717,0.6497054097482592,0.6594929245283019,0.5983195754716981,0.4016804245283019,0.495,0.45,6784.0,4059.0,2725.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2897696839850027,0.5561652311389113,0.5210136624175775,4059.0,2725.0,6784.0,0.9084092126405999,0.6594929245283019,4825.0,0.9284974093264249,0.9904017857142857,4480.0,2643.0,0.8717366628830874,0.016059027777777776,2304.0,True,,,,
experiment_a_expert_only,0.495,0.455,7468.0,0.9243438671665773,0.6521310667652132,0.6691279887482419,0.6606295277567276,0.6497054097482592,0.6591337099811676,0.5880052151238592,0.41199478487614083,0.495,0.455,6903.0,4059.0,2844.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2941885377611141,0.5613177929682361,0.5241033536554249,4059.0,2844.0,6903.0,0.9243438671665773,0.6591337099811676,4825.0,0.9442487046632124,0.9905618964003512,4556.0,2643.0,0.8880060537268256,0.015764806135492117,2347.0,True,,,,
experiment_a_expert_only,0.495,0.46,7468.0,0.9381360471344403,0.6521310667652132,0.663047166610112,0.6575891166876626,0.6497054097482592,0.6567228090208392,0.5793605481016272,0.4206394518983728,0.495,0.46,7006.0,4059.0,2947.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.29405463310123187,0.5674863055762704,0.5181704478359624,4059.0,2947.0,7006.0,0.9381360471344403,0.6567228090208392,4825.0,0.9548186528497409,0.9906663772520078,4607.0,2643.0,0.9076806659099508,0.015423092955398083,2399.0,True,,,,
experiment_a_expert_only,0.495,0.465,7468.0,0.9488484199250133,0.6521310667652132,0.6610505450941526,0.6565908059296829,0.6497054097482592,0.6559412926898109,0.5728196443691786,0.42718035563082135,0.495,0.465,7086.0,4059.0,3027.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2959292983395823,0.5713663980255713,0.5179326249534508,4059.0,3027.0,7086.0,0.9488484199250133,0.6559412926898109,4825.0,0.9641450777202073,0.9903267411865864,4652.0,2643.0,0.9209231933409004,0.01684470008216927,2434.0,True,,,,
experiment_a_expert_only,0.495,0.47,7468.0,0.9587573647562935,0.6521310667652132,0.6559174459851661,0.6540242563751897,0.6497054097482592,0.6537709497206704,0.5668994413407821,0.43310055865921787,0.495,0.47,7160.0,4059.0,3101.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2948580610605249,0.5761507197321585,0.5117724424567218,4059.0,3101.0,7160.0,0.9587573647562935,0.6537709497206704,4825.0,0.9697409326424871,0.9899551186150887,4679.0,2643.0,0.9387060158910329,0.019750100765820233,2481.0,True,,,,
