keep_threshold,reverse_threshold,keep_base_reversal,use_abstains,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.12,0.45,True,True,7468.0,0.6041778253883235,0.5314465408805031,0.5061242344706912,0.5187853876755972,0.6491697911087306,0.5186170212765957,0.4933510638297872,0.5066489361702128,0.45,0.12,4512.0,2226.0,2286.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.022495982860203486,0.5392966913156987,0.04171355623436334,2226.0,2286.0,4512.0,0.6041778253883235,0.5186170212765957,4825.0,0.585699481865285,0.32767162066525124,2826.0,2643.0,0.637911464245176,0.8386714116251482,1686.0
0.12,0.5,False,False,7468.0,0.4752276379217997,0.5469387755102041,0.504907306434024,0.5259230409721141,0.6491697911087306,0.5252183713722175,0.4832347140039448,0.5167652859960552,0.5,0.12,3549.0,1715.0,1834.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.02396893411890731,0.47500458092680137,0.05046042729133373,1715.0,1834.0,3549.0,0.4752276379217997,0.5252183713722175,4825.0,0.4843523316062176,0.3898160034231921,2337.0,2643.0,0.4585698070374574,0.7863036303630363,1212.0
0.12,0.5,False,True,7468.0,0.5333422603106588,0.5427698574338086,0.5047052996532937,0.5237375785435512,0.6491697911087306,0.5234747677629927,0.49309565654029625,0.5069043434597037,0.5,0.12,3983.0,1964.0,2019.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.02504017139796466,0.5041339548734514,0.049669678377942804,1964.0,2019.0,3983.0,0.5333422603106588,0.5234747677629927,4825.0,0.5289119170984456,0.3628526645768025,2552.0,2643.0,0.5414301929625426,0.8099231306778477,1431.0
0.12,0.5,True,False,7468.0,0.5065613283342261,0.547077922077922,0.510594315245478,0.5288361186617001,0.6491697911087306,0.528416600581549,0.48850118953211735,0.5114988104678826,0.5,0.12,3783.0,1848.0,1935.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.028789501874665252,0.48875956587035757,0.058903198801640654,1848.0,1935.0,3783.0,0.5065613283342261,0.528416600581549,4825.0,0.5048704663212435,0.3739737274220033,2436.0,2643.0,0.5096481271282634,0.807720861172977,1347.0
0.12,0.5,True,True,7468.0,0.5646759507230852,0.5431568907963757,0.5099056603773585,0.5265312755868672,0.6491697911087306,0.5264405975812189,0.49727294285036755,0.5027270571496324,0.5,0.12,4217.0,2097.0,2120.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.029860739153722535,0.5171146930659399,0.057744905635305245,2097.0,2120.0,4217.0,0.5646759507230852,0.5264405975812189,4825.0,0.5494300518134715,0.34930215013202565,2651.0,2643.0,0.5925085130533485,0.8263090676883781,1566.0
0.12,0.55,False,False,7468.0,0.4331815747188002,0.5684277530235519,0.5132211538461539,0.5408244534348529,0.6491697911087306,0.5400309119010819,0.4856259659969088,0.5143740340030912,0.55,0.12,3235.0,1571.0,1664.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.03468130690948042,0.44637443240474683,0.07769554972636378,1571.0,1664.0,3235.0,0.4331815747188002,0.5400309119010819,4825.0,0.44352331606217615,0.42570093457943925,2140.0,2643.0,0.41430192962542567,0.7634703196347032,1095.0
0.12,0.55,False,True,7468.0,0.4866095340117836,0.5611111111111111,0.5114503816793893,0.5362807463952501,0.6491697911087306,0.5360484314804623,0.4953219592735278,0.5046780407264722,0.55,0.12,3634.0,1800.0,1834.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.035083020889126966,0.4751455109346276,0.07383637239909403,1800.0,1834.0,3634.0,0.4866095340117836,0.5360484314804623,4825.0,0.48497409326424873,0.3957264957264957,2340.0,2643.0,0.48959515701853956,0.7897990726429676,1294.0
0.12,0.55,True,False,7468.0,0.46451526513122654,0.5669014084507042,0.5189801699716714,0.5429407892111878,0.6491697911087306,0.542519458057077,0.49120784087633323,0.5087921591236667,0.55,0.12,3469.0,1704.0,1765.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.0395018746652384,0.46098448480723736,0.08569024764847841,1704.0,1765.0,3469.0,0.46451526513122654,0.542519458057077,4825.0,0.46404145077720205,0.40687807056721753,2239.0,2643.0,0.46538024971623154,0.7894308943089431,1230.0
0.12,0.55,True,True,7468.0,0.5179432244242099,0.5602690118986032,0.5167958656330749,0.538532438765839,0.6491697911087306,0.5385211995863496,0.499741468459152,0.500258531540848,0.55,0.12,3868.0,1933.0,1935.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.03990358864488489,0.48889653086278134,0.08161970095076138,1933.0,1935.0,3868.0,0.5179432244242099,0.5385211995863496,4825.0,0.5054922279792746,0.3796637966379664,2439.0,2643.0,0.5406734771093454,0.8096571028691393,1429.0
0.12,0.6,False,False,7468.0,0.3903320835565078,0.5866666666666667,0.5268456375838926,0.5567561521252796,0.6491697911087306,0.5560891938250428,0.4888507718696398,0.5111492281303602,0.6,0.12,2915.0,1425.0,1490.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.043786823781467574,0.4162602910289667,0.10519096998954565,1425.0,1490.0,2915.0,0.3903320835565078,0.5560891938250428,4825.0,0.4033160621761658,0.4681397738951696,1946.0,2643.0,0.36662883087400683,0.7327141382868937,969.0
0.12,0.6,False,True,7468.0,0.43893947509373327,0.5765931372549019,0.523086269744836,0.549839703499869,0.6491697911087306,0.549725442342892,0.4978645515558267,0.5021354484441732,0.6,0.12,3278.0,1632.0,1646.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.04365291912158543,0.4445708919689569,0.0981911319660433,1632.0,1646.0,3278.0,0.43893947509373327,0.549725442342892,4825.0,0.44145077720207254,0.4347417840375587,2130.0,2643.0,0.43435489973514946,0.7630662020905923,1148.0
