feature,importance_q70,importance_q80,importance_q90,importance_mean
range_pos_3_mean_gap_6,0.07820587976916529,0.012843153538674861,0.047357153224666146,0.04613539551083543
rv_30_delta_3,0.02579548967755529,0.03629290336769928,0.07608145588611974,0.0460566163104581
regime_vol_ratio,0.06885410275208732,0.01008813397406045,0.05706114887200364,0.045334461866050474
prev_bar_log_trade_count,0.015138616358919596,0.08525303606281191,0.0354804103549327,0.0452906875922214
efficiency_3_delta_6,0.058614243553923716,0.018015927781482293,0.05894485076144899,0.045191674032284995
prev_bar_lower_wick_bps,0.06526905777728896,0.017458099242194457,0.05210790526141103,0.04494502076029814
range_pos_3_rolling_z_6,0.04483104432304798,0.029069605716147445,0.06054068246216967,0.04481377750045503
close_z_3_mean_gap_12,0.04142008794460089,0.04349650569647322,0.04899027447716264,0.044635622706078924
prev_bar_avg_trade_size,0.05507096819623714,0.03846765153215812,0.04024878174809061,0.04459580049216196
range_pos_5_mean_gap_12,0.005797405536629508,0.11585368402371515,0.010917421910238296,0.044189503823527654
rv_5_rolling_z_24,0.023948992852775502,0.01897019405246247,0.08808330949520966,0.04366749880014922
donchian_width_20,0.05578977007018459,0.05742408969982727,0.017413183499854483,0.043542347756622114
rv_3_delta_6,0.06519639322983714,0.013646028866393288,0.05143172918407153,0.043424717093433984
ret_range_pos_product__ret_1__range_pos_10,0.051138388448613716,0.07890149512991114,0.0,0.04334662785950829
rv_term_spread__rv_3__rv_30,0.06571818381416415,0.016246408684783983,0.047816084012200326,0.04326022550371616
compression_score_delta_3,0.08046452088578256,0.04908278226532563,0.0,0.04318243438370273
rv_5_lag3,0.03065001054879241,0.06383731266538993,0.03269062980283854,0.042392651005673625
dollar_vol_mean_5_delta_3,0.04965546409498674,0.029074336531711032,0.047829085709874854,0.042186295445524206
ret_volume_z_product__ret_1__volume_z_3,0.01193044639785944,0.08807892955398737,0.024629564568312345,0.041546313506719716
ret_close_z_product__ret_3__close_z_3,0.05196574738014035,0.012799466815929219,0.05978366800542926,0.041516294067166275
rv_10_mean_gap_12,0.02375998671008896,0.01790644510684355,0.08277316875801055,0.041479866858314354
volume_z_5_lag6,0.06422270416705968,0.0357168389258738,0.02397001134060699,0.04130318481118016
rv_30_rolling_z_24,0.03912282519647077,0.03689418395312931,0.047551669595030925,0.04118955958154367
low_volume_flag_share_20_lag6,0.0,0.0792339982869963,0.04383602109155603,0.04102333979285078
close_z_3_mean_gap_24,0.04141799308710228,0.02624516873285797,0.055198069178403954,0.0409537436661214
legal_prev_log_taker_buy_base_volume,0.028053227702231946,0.03676355457615673,0.05761979050232082,0.040812190926903164
compression_score_lag1,0.03291389905626008,0.0555171945999846,0.03348839232811403,0.0406398286614529
wick_imbalance_5,0.046061018041488384,0.043513708255716835,0.031167113404220778,0.04024727990047534
prev_bar_taker_buy_volume_lag2,0.0696646722848232,0.00908196959255181,0.04179927391180911,0.04018197192972804
wick_pressure_1_lag2,0.02684430635361189,0.07856447529398163,0.015110717176496076,0.04017316627469653
rv_term_ratio__rv_3__rv_10,0.006270249200148683,0.07789357964849,0.03599869586640561,0.04005417490501476
volume_below_rolling_p20_share_20_mean_gap_24,0.030348387857093265,0.06499030129895166,0.02425454814565053,0.03986441243389848
relative_volume_5_delta_1,0.031098677910720195,0.0347381315038709,0.05254002553980433,0.039458944984798475
ret_10_lag3,0.0,0.03186777972340972,0.08433272010151877,0.03873349994164283
range_pos_3_mean_gap_24,0.02633656095023029,0.041648382907330715,0.04637265180413436,0.038119198553898455
low_volume_flag_share_20_mean_gap_12,0.043778829246370464,0.04037527450970267,0.03017520961272867,0.038109771122933934
ret_term_spread__ret_5__ret_10,0.023186828968316156,0.04747099756397111,0.04365604914216404,0.038104625224817106
signed_volume_1_lag6,0.027073249722138242,0.08050946695045282,0.006568425326641644,0.0380503806664109
close_z_5_rolling_z_24,0.027444647438370787,0.014537425474179458,0.07197309550245798,0.037985056138336075
volume_share_term_spread__volume_share_5__volume_share_20,0.04054454483599147,0.037568275063116545,0.033703194700021914,0.03727200486637664
body_pct_1_lag12,0.02366241251415352,0.029355554883018744,0.0587074528910581,0.03724180676274346
context_relative_volume_product__clv_1__relative_volume_10,0.09507615388074954,0.014054943384276432,0.0,0.03637703242167532
rv_10_mean_gap_6,0.0,0.01965521540901382,0.08907301957382265,0.03624274499427882
context_ret_product__clv_1__ret_10,0.0211124998353286,0.03158063587707812,0.05410822454874648,0.0356004534203844
context_ret_product__wick_pressure_1__ret_5,0.0359075612156576,0.012724721778005014,0.05748610765507608,0.0353727968829129
rv_term_spread__rv_3__rv_5,0.027885855527978454,0.04917862797682571,0.028326340656095017,0.035130274720299726
downside_rv_20,0.05263159804213444,0.03593330153593513,0.016571191653910935,0.0350453637439935
volume_below_rolling_p20_share_20_rolling_z_12,0.012124000562006814,0.03373657690287872,0.05899740379591432,0.03495266042026662
ret_volume_z_product__ret_1__volume_z_20,0.01348867410117021,0.09028521287511737,0.0,0.03459129565876253
close_z_10_mean_gap_24,0.021336484062375493,0.07576559195542404,0.006599989114781708,0.03456735504419375
price_location_product__range_pos_5__close_z_10,0.05063072243871933,0.032733620929554105,0.020337544971853496,0.034567296113375647
ret_3_lag6,0.05422254007634545,0.01806134948084317,0.03140958353265576,0.03456449102994812
ret_volume_z_product__ret_10__volume_z_5,0.022094363739429787,0.007237259624722672,0.07395204121157009,0.034427888191907514
volume_z_3_delta_3,0.006021708583193528,0.022540515415277657,0.07423312699770715,0.034265116998726114
wick_pressure_1_mean_gap_6,0.04179487985657331,0.0,0.060466108117733695,0.03408699599143567
