t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
0.555,0.47,8220.0,0.2772506082725061,0.5555555555555556,0.5538116591928252,0.5546836073741903,0.5232360097323601,0.5541904344010531,0.21720052654673103,0.782799473453269,0.555,0.47,2279.0,495.0,1784.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.475,8220.0,0.3186131386861314,0.5555555555555556,0.544256120527307,0.5499058380414312,0.5232360097323601,0.5463917525773195,0.18900343642611683,0.8109965635738832,0.555,0.475,2619.0,495.0,2124.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.48,8220.0,0.3665450121654501,0.5555555555555556,0.5405083399523432,0.5480319477539494,0.5232360097323601,0.5429804181878526,0.16428808496515102,0.835711915034849,0.555,0.48,3013.0,495.0,2518.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.485,8220.0,0.42043795620437957,0.5555555555555556,0.5325903411009794,0.5440729483282675,0.5232360097323601,0.5358796296296297,0.14322916666666666,0.8567708333333334,0.555,0.485,3456.0,495.0,2961.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.49,8220.0,0.4734793187347932,0.5555555555555556,0.5257580217839269,0.5406567886697413,0.5232360097323601,0.5295477903391572,0.12718396711202468,0.8728160328879754,0.555,0.49,3892.0,495.0,3397.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.495,8220.0,0.5267639902676399,0.5555555555555556,0.5241199478487614,0.5398377517021584,0.5232360097323601,0.5277136258660509,0.11431870669745958,0.8856812933025404,0.555,0.495,4330.0,495.0,3835.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.5,8220.0,0.5838199513381995,0.5555555555555556,0.5234665427509294,0.5395110491532424,0.5232360097323601,0.5267764117524484,0.10314648885184413,0.8968535111481558,0.555,0.5,4799.0,495.0,4304.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.4,8220.0,0.04610705596107056,0.5656836461126006,0.5,0.5328418230563003,0.5232360097323601,0.5646437994722955,0.9841688654353562,0.0158311345646438,0.56,0.4,379.0,373.0,6.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.405,8220.0,0.04732360097323601,0.5656836461126006,0.375,0.4703418230563003,0.5232360097323601,0.5578406169665809,0.9588688946015425,0.04113110539845758,0.56,0.405,389.0,373.0,16.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.41,8220.0,0.048418491484184915,0.5656836461126006,0.44,0.5028418230563003,0.5232360097323601,0.5577889447236181,0.9371859296482412,0.06281407035175879,0.56,0.41,398.0,373.0,25.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
